Symbol,Close,Date,High,Low,Month,Open,Volume,Sector
ADANIENT,3108.8,16-08-2024 05:30,3121.6,3039.35,2024-08,3070,970067,Energy
ADANIENT,3102.55,19-08-2024 05:30,3134.3,3092.95,2024-08,3122.05,557265,Energy
ADANIENT,3070.65,20-08-2024 05:30,3126,3058.85,2024-08,3118.95,662263,Energy
ADANIENT,3115.7,21-08-2024 05:30,3153.3,3068.4,2024-08,3070.65,1379240,Energy
ADANIENT,3099.05,22-08-2024 05:30,3150,3091,2024-08,3130.75,1378912,Energy
ADANIENT,3076.35,23-08-2024 05:30,3123,3067.6,2024-08,3101,1375224,Energy
ADANIENT,3069,26-08-2024 05:30,3090,3055,2024-08,3088,1632446,Energy
ADANIENT,3067.1,27-08-2024 05:30,3095.75,3064,2024-08,3072.2,1310440,Energy
ADANIENT,3028,28-08-2024 05:30,3078,3022.1,2024-08,3078,1569652,Energy
ADANIENT,3020.15,29-08-2024 05:30,3041.95,2981.3,2024-08,3030,1853966,Energy
ADANIENT,3019.35,30-08-2024 05:30,3038.55,3003.3,2024-08,3030,3509174,Energy
ADANIENT,3186.1,01-10-2024 05:30,3192,3107,2024-10,3136.3,1367116,Energy
ADANIENT,3116,03-10-2024 05:30,3196.35,3084.1,2024-10,3150,1309703,Energy
ADANIENT,3110.65,04-10-2024 05:30,3149.5,3070,2024-10,3119.9,987583,Energy
ADANIENT,3018,07-10-2024 05:30,3128.5,2980.45,2024-10,3110.65,1743454,Energy
ADANIENT,3160.7,08-10-2024 05:30,3170,2994.85,2024-10,3018.5,1776511,Energy
ADANIENT,3153.75,09-10-2024 05:30,3179.95,3134.4,2024-10,3175,897335,Energy
ADANIENT,3174.2,10-10-2024 05:30,3211,3056.1,2024-10,3140,2905725,Energy
ADANIENT,3137.2,11-10-2024 05:30,3190,3116,2024-10,3174.2,1035260,Energy
ADANIENT,3101.1,14-10-2024 05:30,3150.1,3092.85,2024-10,3145,437728,Energy
ADANIENT,3104.7,15-10-2024 05:30,3128,3091.5,2024-10,3124,371613,Energy
ADANIENT,3085.9,16-10-2024 05:30,3115.4,3061,2024-10,3098,543476,Energy
